Vacancy;Company;Location
SW - Linux Kernel Developer;NUVIA Inc;Santa Clara, CA
SW - Linux Developer;NUVIA Inc;Austin, TX
AI软件架构师;瀚博半导体(上海)有限公司;Shanghai, Shanghai, China
Software Validation Engineer - Sr;TDK InvenSense;Grenoble, Auvergne-Rhône-Alpes, France
Software Validation Engineer - Sr;TDK InvenSense;Grenoble, Auvergne-Rhône-Alpes, France
Engineer II-Test;Microchip Technology Inc.;Colorado Springs, CO
SW - System Software DevOps Engineer;NUVIA Inc;Toronto, ON
SW - System Software DevOps Engineer;NUVIA Inc;Santa Clara, CA
SW - System Software DevOps Engineer;NUVIA Inc;Austin, TX
Continuous Integration Engineer;PathPartner Technology;Bengaluru, Karnataka, India
JAVA研发工程师（车联网）;Hirain Technology Lmt. Inc.;Beijing, Beijing, China
中级Java开发工程师;Hirain Technology Lmt. Inc.;Beijing, Beijing, China
Java架构师;河南裕展精密科技有限公司;Zhengzhou, Henan, China
高级嵌入式开发工程师;智云;Shenzhen, Guangdong, China
Java架构师;Sunwoda Electronics Corp;Shenzhen, Guangdong, China
前端开发工程师(J10996);领益智造;Shenzhen, Guangdong, China
软件架构师（智慧城市）;大华技术;Hangzhou, Zhejiang, China
Validation Tool Development - AI Core;Enflame;Shanghai, Shanghai, China
软件架构师（WiFi Mesh）;Tonly Electronics Holdings Ltd;Shenzhen, Guangdong, China
GPU Virtualization test;超威半导体(上海)有限公司;Shanghai, Shanghai, China
软件项目管理;Hisense Group;Qingdao, Shandong, China
Software Architect;Pliops;Ramat Gan, Tel Aviv, Israel
Senior Camera Software Architect;MediaTek;Hsinchu, Taiwan, Taiwan
Sr Software Design Engineer;Qorvo, Inc.;Dublin, County Dublin, Ireland
Senior Linux Kernel Developer;Qorvo, Inc.;Paris, Île-de-France, France
Software/Embedded Firmware Engineer;MACOM;Newport Beach, CA
Staff Engineer, Software Development Engineering (Apps) MacOS apps (Objective-C/Swift);Western Digital;Bengaluru, Karnataka, India
Staff Test Development Engineer;MaxLinear;Bengaluru, Karnataka, India
Software Architect;MediaTek;Hsinchu, Taiwan, Taiwan
java架构师;VanJee Technology;Beijing, Beijing, China
高级软件架构师;优特科技珠海;Zhuhai, Guangdong, China
软件架构师;Hirain Technology Lmt. Inc.;Tianjin, Tianjin, China
自动化平台测试工程师;创耀(苏州)通信科技股份有限公司;Suzhou, Jiangsu, China
嵌入式软件架构师;优特科技珠海;Zhuhai, Guangdong, China
Sr. Firmware Engineer;超威半导体(上海)有限公司;Shanghai, Shanghai, China
Senior Agile Atlassian Tools Engineer;Western Digital;Bengaluru, Karnataka, India
Senior Algorithm/ Signal Processing Engineer;Analog Devices;Wilmington, MA
Engineer I-Firmware;Microchip Technology Inc.;Houston, TX
Java Microservices Developer;PamTen Inc;Peapack - Gladstone, NJ
Cloud Native SW Architect;Intel Corporation;Gdańsk, Pomorskie, Poland
software configuration management;翱捷科技;Shanghai, Shanghai, China
Lead MTS Verification Engineering - 20436;Rambus;Rotterdam, South Holland, Netherlands
Sr ASIC Verification Engineer - 20439;Rambus;Rotterdam, South Holland, Netherlands
Systems Engineer;Analog Devices;Somerset, NJ
Senior Full Stack Software Engineer;Analog Devices;Colorado Springs, CO
Programmer Lead, Sr. - Enterprise Analytics;Lam Research;Bengaluru, Karnataka, India
Lead Software Engineer;eLeapPower;Toronto, ON
Sr. Diagnostics Development Engineer;广州思信电子科技有限公司;Shanghai, Shanghai, China
嵌入式软件架构师;大华技术;Hangzhou, Zhejiang, China
SSD Firmware Engineer;美光半导体;Shanghai, Shanghai, China
高级JAVA软件工程师;中国电子系统技术有限公司;Wuhan, Hubei, China
Software Process Management Engineer（偏网页开发）;上海澜至半导体有限公司;Chengdu, Sichuan, China
Android System SW Architect;MediaTek;Hsinchu, Taiwan, Taiwan
AI Release Engineer;MediaTek;Hsinchu, Taiwan, Taiwan
Camera Software Architect and Kernel Driver Expert;MediaTek;Hsinchu, Taiwan, Taiwan
SoC System Software Architect;MediaTek;Hsinchu, Taiwan, Taiwan
Embedded Firmware Engineer (US Development Team);EM Microelectronic;Colorado Springs, CO
Android Developer;PathPartner Technology;Bengaluru, Karnataka, India
Android Lead;PathPartner Technology;Bengaluru, Karnataka, India
Qt Developer;PathPartner Technology;Bengaluru, Karnataka, India
Full Stack Architect;PathPartner Technology;Bengaluru, Karnataka, India
JAVA Developer/Lead Developer;Incise Infotech Private Limited;Gautam Buddha Nagar, Uttar Pradesh, India
Xamarin Developer;Incise Infotech Private Limited;Delhi, Delhi, India
Sr. Developer/Tech Lead (JAVA);VVDN Technologies;Gautam Buddha Nagar, Uttar Pradesh, India
Sr. Engineer/Technical lead/Manager;VVDN Technologies;Ahmedabad, Gujarat, India
Sr. Engineer/Technical lead/Manager;VVDN Technologies;Kochi, Kerala, India
Sr Developer/ Tech Lead (JAVA);VVDN Technologies;Gurgaon, Haryana, India
Senior Embedded Java Developer;Test and Verification Solutions;Bengaluru, Karnataka, India
Tech Lead (Embedded Software Developer);VVDN Technologies;Gurgaon, Haryana, India
3G Firmware Senior Engineer;Test and Verification Solutions;Bengaluru, Karnataka, India
Tech Lead (5G Layer3 Development);VVDN Technologies;Gurgaon, Haryana, India
Software Developer;Insemi Technology Services Pvt. Ltd.;Bengaluru, Karnataka, India
Tech Lead (Embedded Software Developer);VVDN Technologies;Gautam Buddha Nagar, Uttar Pradesh, India
DEVOPS Engineer;Insemi Technology Services Pvt. Ltd.;Bengaluru, Karnataka, India
Software Architect - AUTOSAR;Wafer Space - An ACL Digital Company;Bengaluru, Karnataka, India
V&V Engineer Infotainment & Audio Testing;Wafer Space - An ACL Digital Company;Pune, Maharashtra, India
Senior Design Engineer;Xilinx;Singapore, Singapore
Senior C++ Embedded Software Engineer;Synaptics;Katowice, Śląskie, Poland
Senior Embedded Linux Software Engineer;Analog Devices;Cluj-Napoca, Cluj, Romania
Embedded Linux Engineer;Analog Devices;Cluj-Napoca, Cluj, Romania
Devops Engineer;Maxim Integrated;Bengaluru, Karnataka, India
软件架构师;ECI;Shanghai, Shanghai, China
AI软件架构师 1;瀚博半导体(上海)有限公司;Shanghai, Shanghai, China
软件架构师;浙江荷清柔性电子技术有限公司;Hangzhou, Zhejiang, China
资深java架构师;至纯科技;Shanghai, Shanghai, China
GPU Test Automation Engineer;广州思信电子科技有限公司;Guangzhou, Guangdong, China
devops开发工程师;中国电子系统技术有限公司;Beijing, Beijing, China
Technical Lead - Software (Graphics & Video) - Defence;Mistral Solutions Pvt. Ltd;Bengaluru, Karnataka, India
Lead Software Engineer, SDK;Western Digital;Milpitas, CA
